City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cabo san lucas,22.8909,-109.9124,36.45,60,6,3.91,MX,1687974672
1,waitangi,-43.9535,-176.5597,12.12,96,77,1.34,NZ,1687974672
2,bata,1.8639,9.7658,26.45,79,98,6.38,GQ,1687974672
3,papatowai,-46.5619,169.4708,8.06,91,100,3.93,NZ,1687974673
4,adamstown,-25.066,-130.1015,19.91,72,90,12.08,PN,1687974673
5,antofagasta,-23.65,-70.4,19.6,64,5,2.08,CL,1687974673
6,ostersund,63.1792,14.6357,23.25,28,20,2.57,SE,1687974673
7,edinburgh of the seven seas,-37.0676,-12.3116,15.76,94,94,9.53,SH,1687974673
8,hawaiian paradise park,19.5933,-154.9731,23.28,92,0,0.0,US,1687974674
9,san julian,21.0167,-102.1667,26.53,32,6,3.4,MX,1687974674
10,grytviken,-54.2811,-36.5092,-6.94,89,71,5.15,GS,1687974674
11,el fasher,13.6279,25.3494,34.94,23,7,4.08,SD,1687974674
12,dijkot,31.2167,72.9833,33.93,50,0,3.67,PK,1687974675
13,new norfolk,-42.7826,147.0587,5.95,85,75,2.06,AU,1687974675
14,port-aux-francais,-49.35,70.2167,4.19,95,100,3.04,TF,1687974675
15,kodiak,57.79,-152.4072,8.73,93,100,2.57,US,1687974675
16,hermanus,-34.4187,19.2345,9.89,85,70,2.16,ZA,1687974676
17,ribeira grande,38.5167,-28.7,25.22,65,20,12.35,PT,1687974676
18,khandud,36.9513,72.318,15.92,48,67,3.69,AF,1687974676
19,vilyuchinsk,52.9306,158.4028,10.15,90,94,0.53,RU,1687974676
20,avarua,-21.2078,-159.775,26.03,89,0,3.6,CK,1687974400
21,ca mau,9.1769,105.15,26.59,86,100,1.73,VN,1687974677
22,inongo,-1.95,18.2667,22.61,84,76,2.51,CD,1687974677
23,lebu,-37.6167,-73.65,10.91,70,96,4.43,CL,1687974677
24,revda,56.801,59.9303,14.28,76,80,2.71,RU,1687974677
25,talnakh,69.4865,88.3972,12.34,65,60,1.72,RU,1687974678
26,kotlas,61.2611,46.6556,18.17,64,46,1.87,RU,1687974678
27,la sarre,48.8002,-79.1996,21.98,29,0,3.39,CA,1687974494
28,isafjordur,66.0755,-23.124,7.02,81,100,8.23,IS,1687974678
29,fort st. john,56.2499,-120.8529,17.94,77,75,3.09,CA,1687974684
30,iqaluit,63.7506,-68.5145,8.85,53,75,8.23,CA,1687974684
31,moyynkum,44.2914,72.9469,24.25,29,49,4.12,KZ,1687974684
32,jamestown,42.097,-79.2353,20.01,86,100,4.63,US,1687974684
33,blackmans bay,-43.0167,147.3167,5.29,79,37,3.86,AU,1687974685
34,zeya,53.75,127.2667,18.04,95,84,1.58,RU,1687974685
35,dudinka,69.4058,86.1778,12.57,69,48,3.25,RU,1687974685
36,selfoss,63.9331,-20.9971,9.47,84,62,7.99,IS,1687974685
37,puerto ayora,-0.7393,-90.3518,27.98,86,11,3.13,EC,1687974685
38,wurtulla,-26.7568,153.1256,21.7,67,100,2.68,AU,1687974686
39,dongcun,36.7767,121.1597,22.98,98,100,2.62,CN,1687974686
40,badger,64.8,-147.5333,19.52,62,100,0.0,US,1687974651
41,bredasdorp,-34.5322,20.0403,11.47,88,19,1.47,ZA,1687974686
42,al jawf,29.5,38.75,32.41,14,0,4.23,SA,1687974687
43,mount isa,-20.7333,139.5,18.87,59,54,5.14,AU,1687974687
44,port mathurin,-19.6833,63.4167,23.43,66,26,5.45,MU,1687974687
45,saipan,15.1355,145.701,27.39,100,0,2.57,MP,1687974687
46,guajara mirim,-10.7828,-65.3394,33.09,43,20,3.09,BR,1687974687
47,ambatofinandrahana,-20.55,46.8,10.03,70,0,2.45,MG,1687974688
48,colachel,8.1667,77.25,26.24,78,21,4.15,IN,1687974688
49,ushuaia,-54.8,-68.3,-1.21,74,10,2.06,AR,1687974688
50,rio claro,-22.4114,-47.5614,25.19,40,0,3.47,BR,1687974476
51,lata,40.1629,-8.3327,24.49,38,0,3.52,PT,1687974688
52,puerto natales,-51.7236,-72.4875,-0.75,100,75,1.03,CL,1687974689
53,albany,42.6001,-73.9662,22.87,84,100,0.45,US,1687974439
54,da nang,16.0678,108.2208,27.99,89,20,1.03,VN,1687974689
55,invercargill,-46.4,168.35,9.03,82,98,5.13,NZ,1687974458
56,anadyr,64.75,177.4833,8.28,87,20,4.0,RU,1687974689
57,alofi,-19.0595,-169.9187,23.94,88,23,5.14,NU,1687974690
58,nemuro,43.3236,145.575,12.87,100,100,3.87,JP,1687974690
